player_id,positions,name,Playoffs,Playoffs_Won,World_Series,World_Series_Won,years_played,span
0,Pitcher,David Aardsma,,,,,9,2004-2015
1,Rightfielder|First Baseman,Hank Aaron,1969,,1957|1958,1957,23,1954-1976
2,First Baseman|Leftfielder,Tommie Aaron,1969,,,,7,1962-1971
3,Pitcher,Don Aase,1979,,,,13,1977-1990
4,First Baseman|Pinch Hitter|Rightfielder,Andy Abad,,,,,3,2001-2006
5,Pitcher,Fernando Abad,,,,,6,2010-2015
6,First Baseman,John Abadie,,,,,1,1875-1875
7,Second Baseman|Shortstop,Ed Abbaticchio,,,1909,1909,9,1897-1910
8,Pitcher,Bert Abbey,,,,,5,1892-1896
9,Outfielder,Charlie Abbey,,,,,5,1893-1897
10,Pitcher,Dan Abbott,,,,,1,1890-1890
11,Catcher|First Baseman,Fred Abbott,,,,,3,1903-1905
12,Pitcher,Glenn Abbott,1975,,,,11,1973-1984
13,Outfielder,Jeff Abbott,,,,,5,1997-2001
14,Pitcher,Jim Abbott,,,,,10,1989-1999
15,Shortstop|Second Baseman|Leftfielder,Kurt Abbott,1997|2000,1997|2000,1997|2000,1997,9,1993-2001
16,Pitcher,Kyle Abbott,,,,,4,1991-1996
17,Centerfielder,Ody Abbott,,,,,1,1910-1910
18,Pitcher,Paul Abbott,2000|2001,,,,11,1990-2004
19,Pitcher,Al Aber,,,,,6,1950-1957
20,Shortstop,Frank Abercrombie,,,,,1,1871-1871
21,Centerfielder,Reggie Abercrombie,,,,,3,2006-2008
22,Pitcher,Bill Abernathie,,,,,1,1952-1952
23,Second Baseman,Brent Abernathy,,,,,4,2001-2005
24,Pitcher,Ted Abernathy,,,,,3,1942-1944
25,Pitcher,Ted Abernathy,,,,,14,1955-1972
26,Pitcher,Woody Abernathy,,,,,2,1946-1947
27,Leftfielder,Cliff Aberson,,,,,3,1947-1949
28,Pitcher,Harry Ables,,,,,3,1905-1911
29,Outfielder,Shawn Abner,,,,,6,1987-1992
30,Outfielder,Cal Abrams,,,,,8,1949-1956
31,Pitcher,George Abrams,,,,,1,1923-1923
32,Pitcher,Johnny Abrego,,,,,1,1985-1985
33,Rightfielder,Bobby Abreu,2009,,,,18,1996-2014
34,Third Baseman|Second Baseman,Joe Abreu,,,,,1,1942-1942
35,First Baseman,Jose Abreu,,,,,2,2014-2015
36,Pitcher,Juan Abreu,,,,,1,2011-2011
37,Second Baseman|Pinch Hitter|Third Baseman,Tony Abreu,,,,,6,2007-2014
38,Pitcher,Winston Abreu,,,,,3,2006-2009
39,First Baseman,Bill Abstein,,,1909,1909,3,1906-1910
40,Pitcher,Jeremy Accardo,,,,,8,2005-2012
41,Pitcher,Jose Acevedo,,,,,5,2001-2005
42,Pitcher,Juan Acevedo,,,,,8,1995-2003
43,Pitcher,Alfredo Aceves,2009,2009,2009,2009,7,2008-2014
44,Pitcher,A.J. Achter,,,,,2,2014-2015
45,Pitcher,Jim Acker,1985|1989|1991,,,,10,1983-1992
46,Pitcher,Tom Acker,,,,,4,1956-1959
47,Second Baseman|Leftfielder|First Baseman,Dustin Ackley,,,,,5,2011-2015
48,Pitcher,Fritz Ackley,,,,,2,1963-1964
49,Pitcher,Cy Acosta,,,,,4,1972-1975
50,Pitcher,Ed Acosta,,,,,3,1970-1972
51,Pitcher,Jose Acosta,,,,,3,1920-1922
52,Pitcher,Manny Acosta,,,,,6,2007-2012
53,Outfielder,Merito Acosta,,,,,5,1913-1918
54,Pitcher,Mark Acre,,,,,4,1994-1997
55,Second Baseman|Shortstop|Third Baseman,Jerry Adair,,,1967,,13,1958-1970
56,Shortstop,Jimmy Adair,,,,,1,1931-1931
57,Shortstop|Pinch Hitter|Second Baseman,Cristhian Adames,,,,,2,2014-2015
58,Pitcher,Ace Adams,,,,,6,1941-1946
59,Pitcher,Austin Adams,,,,,2,2014-2015
60,Pitcher,Babe Adams,,,1909|1925,1909|1925,19,1906-1926
61,Catcher,Bert Adams,,,,,8,1910-1919
62,Pitcher,Bob Adams,,,,,1,1925-1925
63,Pitcher,Bob Adams,,,,,2,1931-1932
64,Pinch Hitter|First Baseman|Catcher,Bob Adams,,,,,1,1977-1977
65,Third Baseman|Second Baseman,Bobby Adams,,,,,14,1946-1959
66,Centerfielder,Buster Adams,,,,,6,1939-1947
