player_id,Pitcher_Years,WARS_pitcher,ERAs,IPs,GSs,FIPs,E_Fs,K_Pers,BB_Pers
0,2004|2006|2007|2008|2009|2010|2012|2013|2015,-0.2|0.6|-0.4|-0.3|1.7|0.7|-0.0|-0.2|-0.2,6.75|4.08|6.40|5.55|2.52|3.44|9.00|4.31|4.70,10.2|53.0|32.1|48.2|71.1|49.2|1.0|39.2|30.2,0|0|0|0|0|0|0|0|0,6.71|5.15|4.29|4.65|3.01|4.05|17.10|5.27|4.86,0.04|-1.07|2.11|0.9|-0.49|-0.61|-8.1|-0.96|-0.16,0.082|0.218|0.238|0.215|0.27|0.243|0.2|0.202|0.271,0.164|0.124|0.113|0.154|0.115|0.124|0.2|0.107|0.109
1,,,,,,,,,
2,,,,,,,,,
3,1977|1978|1979|1980|1981|1982|1984|1985|1986|1987|1988|1989|1990,2.4|1.5|1.4|2.5|2.2|0.7|2.1|0.2|2.3|0.4|0.4|-0.3|-0.7,3.12|4.03|4.81|4.06|2.34|3.46|1.62|3.78|2.98|2.25|4.05|3.94|4.97,92.1|178.2|185.1|175.0|65.1|52.0|39.0|88.0|81.2|8.0|46.2|59.1|38.0,13|29|28|21|0|0|0|0|0|0|0|0|0,3.17|3.94|4.29|4.02|3.33|3.76|3.13|3.27|3.11|5.25|5.06|4.08|4.76,-0.05|0.09|0.52|0.04|-0.99|-0.3|-1.51|0.51|-0.13|-3.0|-1.01|-0.14|0.21,0.131|0.12|0.118|0.097|0.143|0.189|0.175|0.183|0.199|0.091|0.134|0.13|0.147,0.051|0.103|0.094|0.087|0.091|0.108|0.119|0.096|0.083|0.121|0.177|0.1|0.117
4,,,,,,,,,
5,2010|2011|2012|2013|2014|2015,0.4|-1.0|-0.1|0.4|1.7|0.2,2.84|7.32|5.09|3.35|1.57|4.15,19.0|19.2|46.0|37.2|57.1|47.2,0|0|6|0|0|0,4.66|6.33|4.57|3.26|3.25|5.50,-1.82|0.99|0.52|0.09|-1.68|-1.35,0.158|0.152|0.183|0.193|0.236|0.22,0.066|0.091|0.091|0.06|0.069|0.093
6,,,,,,,,,
7,,,,,,,,,
8,1892|1893|1894|1895|1895|1896,-0.2|-0.1|1.6|-0.0|0.5|-0.6,3.45|5.46|5.18|4.50|4.33|5.15,195.2|56.0|92.0|8.0|52.0|164.1,22|7|11|1|6|18,3.37|4.55|5.02|3.96|3.73|4.44,0.08|0.91|0.16|0.54|0.6|0.71,0.088|0.023|0.057|0.083|0.061|0.05,0.087|0.076|0.087|0.056|0.039|0.065
9,,,,,,,,,
10,1890,-0.3,6.23,13.0,1,4.84,1.39,0.015,0.119
11,,,,,,,,,
12,1973|1974|1975|1976|1977|1978|1979|1980|1981|1983|1983|1984,0.1|1.0|-0.1|-0.8|1.1|-0.3|-0.1|2.4|1.4|1.0|1.4|-1.5,3.86|3.00|4.25|5.49|4.45|5.27|5.17|4.10|3.94|4.59|1.93|5.93,18.2|96.0|114.1|62.1|204.1|155.1|116.2|215.0|130.1|82.1|46.2|44.0,3|17|15|10|34|28|19|31|20|14|7|8,5.14|3.48|4.42|3.84|4.79|4.45|5.47|4.38|4.10|3.95|4.13|5.75,-1.28|-0.48|-0.17|1.65|-0.34|0.82|-0.3|-0.28|-0.16|0.64|-2.2|0.18,0.076|0.095|0.103|0.095|0.116|0.097|0.048|0.086|0.066|0.107|0.059|0.039,0.089|0.085|0.101|0.057|0.065|0.064|0.073|0.054|0.053|0.042|0.038|0.039
13,,,,,,,,,
14,1989|1990|1991|1992|1993|1994|1995|1995|1996|1998|1999,0.4|1.4|7.6|5.8|1.6|1.9|2.6|1.2|-2.1|0.5|-1.1,3.92|4.51|2.89|2.77|4.37|4.55|3.36|4.15|7.48|4.55|6.91,181.1|211.2|243.0|211.0|214.0|160.1|112.1|84.2|142.0|31.2|82.0,29|33|34|29|32|24|17|13|23|5|15,3.72|3.89|3.27|3.31|4.50|5.19|4.42|3.81|6.19|4.31|6.06,0.2|0.62|-0.38|-0.54|-0.13|-0.64|-1.06|0.34|1.29|0.24|0.85,0.146|0.114|0.158|0.149|0.105|0.13|0.095|0.111|0.089|0.104|0.094,0.094|0.078|0.073|0.078|0.081|0.092|0.074|0.079|0.119|0.09|0.107
15,,,,,,,,,
16,1991|1992|1995|1996,0.2|-1.3|0.4|-0.6,4.58|5.13|3.81|20.25,19.2|133.1|28.1|4.0,3|19|0|0,5.09|4.45|4.69|8.67,-0.51|0.68|-0.88|11.58,0.133|0.153|0.172|0.115,0.144|0.078|0.131|0.192
17,,,,,,,,,
