game_id,game_date,stadium,team1,team2,team1_runs,team2_runs,team1_hits,team2_hits,team1_hrs,team2_hrs,winner,postseason
19400,1940-04-16,Comiskey Park I,Cleveland Indians,Chicago White Sox,1,0,6,0,0,0,Cleveland Indians,False
19401,1940-04-16,Shibe Park,New York Yankees,Philadelphia Athletics,1,2,6,6,0,1,Philadelphia Athletics,False
19402,1940-04-16,Tiger Stadium,St. Louis Browns,Detroit Tigers,5,1,10,7,1,0,St. Louis Browns,False
19403,1940-04-16,Griffith Stadium,Boston Red Sox,Washington Senators,1,0,7,2,0,0,Boston Red Sox,False
19404,1940-04-16,Braves Field,Brooklyn Dodgers,Boston Bees,5,0,7,5,0,0,Brooklyn Dodgers,False
19405,1940-04-16,Crosley Field,Chicago Cubs,Cincinnati Reds,1,2,6,8,1,2,Cincinnati Reds,False
19406,1940-04-16,Polo Grounds V,Philadelphia Phillies,New York Giants,3,1,6,3,1,0,Philadelphia Phillies,False
19407,1940-04-16,Sportsman's Park III,Pittsburgh Pirates,St. Louis Cardinals,6,4,15,7,1,0,Pittsburgh Pirates,False
19408,1940-04-17,Shibe Park,New York Yankees,Philadelphia Athletics,4,1,7,4,1,0,New York Yankees,False
19409,1940-04-18,Tiger Stadium,St. Louis Browns,Detroit Tigers,2,4,7,7,0,2,Detroit Tigers,False
194010,1940-04-18,Griffith Stadium,Boston Red Sox,Washington Senators,7,0,9,5,1,0,Boston Red Sox,False
194011,1940-04-18,Crosley Field,Chicago Cubs,Cincinnati Reds,1,2,5,8,0,0,Cincinnati Reds,False
194012,1940-04-19,Fenway Park,Philadelphia Athletics,Boston Red Sox,6,7,8,8,0,1,Boston Red Sox,False
194013,1940-04-19,Fenway Park,Philadelphia Athletics,Boston Red Sox,3,1,5,5,1,0,Philadelphia Athletics,False
194014,1940-04-19,Cleveland Stadium,Detroit Tigers,Cleveland Indians,0,4,3,7,0,1,Cleveland Indians,False
194015,1940-04-19,Yankee Stadium I,Washington Senators,New York Yankees,3,5,7,9,0,1,New York Yankees,False
194016,1940-04-19,Ebbets Field,New York Giants,Brooklyn Dodgers,0,12,9,12,0,0,Brooklyn Dodgers,False
194017,1940-04-19,Wrigley Field,St. Louis Cardinals,Chicago Cubs,0,5,6,9,0,0,Chicago Cubs,False
194018,1940-04-20,Sportsman's Park III,Chicago White Sox,St. Louis Browns,1,11,8,13,1,1,St. Louis Browns,False
194019,1940-04-20,Wrigley Field,St. Louis Cardinals,Chicago Cubs,3,4,12,7,0,0,Chicago Cubs,False
194020,1940-04-21,Cleveland Stadium,Detroit Tigers,Cleveland Indians,12,2,15,5,0,1,Detroit Tigers,False
194021,1940-04-21,Sportsman's Park III,Chicago White Sox,St. Louis Browns,6,2,12,7,1,0,Chicago White Sox,False
194022,1940-04-21,Wrigley Field,St. Louis Cardinals,Chicago Cubs,5,4,9,11,0,0,St. Louis Cardinals,False
194023,1940-04-22,Sportsman's Park III,Cleveland Indians,St. Louis Browns,5,2,8,7,0,1,Cleveland Indians,False
194024,1940-04-22,Comiskey Park I,Detroit Tigers,Chicago White Sox,6,5,11,11,0,0,Detroit Tigers,False
194025,1940-04-22,Crosley Field,St. Louis Cardinals,Cincinnati Reds,1,6,7,9,0,0,Cincinnati Reds,False
194026,1940-04-22,Forbes Field,Chicago Cubs,Pittsburgh Pirates,5,9,9,10,0,0,Pittsburgh Pirates,False
194027,1940-04-23,Yankee Stadium I,Philadelphia Athletics,New York Yankees,3,0,4,4,0,0,Philadelphia Athletics,False
194028,1940-04-23,Fenway Park,Washington Senators,Boston Red Sox,2,7,7,8,0,3,Boston Red Sox,False
194029,1940-04-23,Ebbets Field,Boston Bees,Brooklyn Dodgers,3,8,10,12,1,3,Brooklyn Dodgers,False
194030,1940-04-23,Forbes Field,Chicago Cubs,Pittsburgh Pirates,2,3,7,9,0,0,Pittsburgh Pirates,False
194031,1940-04-23,Shibe Park,New York Giants,Philadelphia Phillies,1,0,5,4,0,0,New York Giants,False
194032,1940-04-24,Yankee Stadium I,Philadelphia Athletics,New York Yankees,4,9,10,11,1,4,New York Yankees,False
194033,1940-04-24,Sportsman's Park III,Cleveland Indians,St. Louis Browns,6,4,12,12,1,0,Cleveland Indians,False
194034,1940-04-24,Fenway Park,Washington Senators,Boston Red Sox,9,6,12,6,1,1,Washington Senators,False
194035,1940-04-24,Comiskey Park I,Detroit Tigers,Chicago White Sox,2,1,8,5,1,0,Detroit Tigers,False
194036,1940-04-24,Ebbets Field,Boston Bees,Brooklyn Dodgers,6,8,9,10,0,1,Brooklyn Dodgers,False
194037,1940-04-24,Forbes Field,Chicago Cubs,Pittsburgh Pirates,9,4,10,11,0,0,Chicago Cubs,False
194038,1940-04-24,Shibe Park,New York Giants,Philadelphia Phillies,5,2,7,5,1,0,New York Giants,False
194039,1940-04-25,League Park IV,Chicago White Sox,Cleveland Indians,1,3,8,7,0,2,Cleveland Indians,False
194040,1940-04-25,Griffith Stadium,Philadelphia Athletics,Washington Senators,6,7,13,13,0,0,Washington Senators,False
194041,1940-04-25,Sportsman's Park III,Detroit Tigers,St. Louis Browns,4,2,10,5,1,0,Detroit Tigers,False
194042,1940-04-25,Wrigley Field,Cincinnati Reds,Chicago Cubs,2,4,5,11,0,0,Chicago Cubs,False
194043,1940-04-25,Shibe Park,Brooklyn Dodgers,Philadelphia Phillies,3,1,8,5,1,0,Brooklyn Dodgers,False
194044,1940-04-25,Forbes Field,St. Louis Cardinals,Pittsburgh Pirates,10,9,22,12,0,0,St. Louis Cardinals,False
194045,1940-04-25,Polo Grounds V,Boston Bees,New York Giants,1,9,6,11,0,1,New York Giants,False
194046,1940-04-26,Fenway Park,New York Yankees,Boston Red Sox,1,8,7,11,0,0,Boston Red Sox,False
194047,1940-04-26,League Park IV,Chicago White Sox,Cleveland Indians,11,1,13,4,0,0,Chicago White Sox,False
194048,1940-04-26,Griffith Stadium,Philadelphia Athletics,Washington Senators,6,8,10,6,0,0,Washington Senators,False
194049,1940-04-26,Wrigley Field,Cincinnati Reds,Chicago Cubs,2,6,5,8,0,1,Chicago Cubs,False
194050,1940-04-26,Shibe Park,Brooklyn Dodgers,Philadelphia Phillies,6,0,8,7,1,0,Brooklyn Dodgers,False
