554,Shortstop|First Baseman|Third Baseman,Charlie Babb,,,,,3,1903-1905
555,Pitcher,Bob Babcock,,,,,3,1979-1981
556,Third Baseman,Loren Babe,,,,,2,1952-1953
557,Pitcher,Johnny Babich,,,,,5,1934-1941
558,Outfielder|Pinch Hitter|First Baseman,Charlie Babington,,,,,1,1915-1915
559,Second Baseman,Shooty Babitt,,,,,1,1981-1981
560,Pitcher,Brandon Backe,2004|2005,2005,2005,,8,2002-2009
561,Pitcher,Les Backman,,,,,2,1909-1910
562,Second Baseman|Third Baseman,Wally Backman,1986|1988|1990,1986,1986,1986,14,1980-1993
563,Pinch Hitter|Pitcher,Eddie Bacon,,,,,1,1917-1917
564,Pitcher,Mike Bacsik,,,,,5,1975-1980
565,Pitcher,Mike Bacsik,,,,,5,2001-2007
566,Pitcher,Fred Baczewski,,,,,3,1953-1955
567,Pitcher,Burke Badenhop,,,,,8,2008-2015
568,Leftfielder,Art Bader,,,,,1,1904-1904
569,Pitcher,King Bader,,,,,3,1912-1918
570,Rightfielder|Pinch Hitter,Red Badgro,,,,,2,1929-1930
571,Pitcher,Ed Baecht,,,,,6,1926-1937
572,Pitcher,Cha-Seung Baek,,,,,4,2004-2008
573,Second Baseman|Third Baseman,Carlos Baerga,1995,1995,1995,,14,1990-2005
574,Pitcher,Benito Baez,,,,,1,2001-2001
575,Pitcher,Danys Baez,,,,,10,2001-2011
576,Second Baseman|Shortstop|Third Baseman,Javier Baez,2015,,,,2,2014-2015
577,Second Baseman|Third Baseman,Jose Baez,,,,,2,1977-1978
578,Shortstop,Kevin Baez,,,,,3,1990-1993
579,Pitcher,Pedro Baez,,,,,2,2014-2015
580,Pitcher,Jim Bagby,,,1920,1920,9,1912-1923
581,Pitcher,Jim Bagby,,,1946,,10,1938-1947
582,Pitcher|Outfielder,Ed Bagley,,,,,2,1884-1885
583,Catcher|Rightfielder,Gene Bagley,,,,,1,1886-1886
584,Pinch Hitter|Leftfielder,Bill Bagwell,,,,,2,1923-1925
585,First Baseman,Jeff Bagwell,2004|2005,2005,2005,,15,1991-2005
586,Pitcher,Stan Bahnsen,,,,,16,1966-1982
587,Pitcher,Ed Bahr,,,,,2,1946-1947
588,Outfielder,Frank Bahret,,,,,1,1884-1884
589,Pitcher,Grover Baichley,,,,,1,1914-1914
590,Pitcher,Scott Bailes,,,,,9,1986-1998
591,Pitcher,Andrew Bailey,,,,,6,2009-2015
592,Pitcher,Bill Bailey,,,,,11,1907-1922
593,Outfielder|Third Baseman,Bill Bailey,,,,,1,1911-1911
594,Third Baseman|Leftfielder|First Baseman,Bob Bailey,,,,,17,1962-1978
595,Pitcher,Cory Bailey,,,,,8,1993-2002
596,Catcher,Ed Bailey,,,1962,,14,1953-1966
597,Pinch Hitter|Outfielder,Fred Bailey,,,,,3,1916-1918
598,Outfielder,Gene Bailey,,,,,5,1917-1924
599,Pitcher,Harvey Bailey,,,,,2,1899-1900
