player_id,team_names,years
8064,Detroit Tigers,1973
8065,Milwaukee Brewers|Milwaukee Brewers|Milwaukee Brewers|Milwaukee Brewers,1991|1993|1994|1995
8066,Chicago White Sox|Chicago White Sox|Chicago White Sox|Philadelphia Phillies|San Diego Padres|Philadelphia Phillies,2005|2006|2007|2007|2008|2008
8067,Chicago Cubs,1994
8068,Philadelphia Phillies,1913
8069,Texas Rangers|Texas Rangers|Texas Rangers|Texas Rangers|Texas Rangers|Detroit Tigers|Houston Astros|Philadelphia Phillies|Philadelphia Phillies|Philadelphia Phillies|Baltimore Orioles|Baltimore Orioles|New York Yankees|Detroit Tigers|Houston Astros,1986|1987|1988|1989|1990|1991|1992|1993|1994|1996|1996|1997|1997|1998|1998
8070,Arizona Diamondbacks|Arizona Diamondbacks,2014|2015
8071,Toronto Blue Jays|Toronto Blue Jays|Toronto Blue Jays|Atlanta Braves,1987|1988|1989|1990
8072,Chicago White Sox,2010
8073,Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Atlanta Braves|Atlanta Braves|Atlanta Braves|Florida Marlins|Miami Marlins|Detroit Tigers|Detroit Tigers|Kansas City Royals|Kansas City Royals,2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2012|2013|2014|2015
8074,Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Detroit Tigers|Oakland Athletics|Pittsburgh Pirates,2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2012|2013
8075,Cincinnati Reds,1914
8076,Boston Rustlers,1911
8077,Cleveland Indians|Toronto Blue Jays|Toronto Blue Jays|Toronto Blue Jays|Milwaukee Brewers|Houston Astros,2006|2007|2008|2009|2010|2011
8078,Baltimore Orioles,1883
8079,Los Angeles Dodgers|Los Angeles Dodgers|Los Angeles Dodgers,1994|1995|1997
8080,Pittsburgh Pirates,1929
8081,Detroit Tigers|Minnesota Twins,1994|1995
8082,Brooklyn Grooms|Brooklyn Grooms|Washington Senators|Baltimore Orioles|Louisville Colonels|Louisville Colonels|Philadelphia Phillies|Cincinnati Reds,1891|1892|1892|1894|1894|1895|1896|1896
8083,New York Mets|New York Mets|New York Mets|New York Mets|New York Mets|New York Mets|New York Mets,1987|1988|1989|1990|1991|1992|1993
8084,Philadelphia Phillies|St. Louis Cardinals|St. Louis Cardinals|St. Louis Cardinals|St. Louis Cardinals|St. Louis Cardinals|St. Louis Cardinals|St. Louis Cardinals|St. Louis Cardinals|Kansas City Royals|Kansas City Royals|San Diego Padres,1977|1977|1978|1979|1980|1981|1982|1983|1984|1984|1985|1986
