player_id,teams,years
0,New York Giants|Brooklyn Superbas|Brooklyn Superbas,1903|1904|1905
1,Texas Rangers|Texas Rangers|Texas Rangers,1979|1980|1981
2,New York Yankees|New York Yankees|Philadelphia Athletics,1952|1953|1953
3,Brooklyn Dodgers|Brooklyn Dodgers|Boston Bees|Philadelphia Athletics|Philadelphia Athletics,1934|1935|1936|1940|1941
4,New York Giants,1915
5,Oakland Athletics,1981
6,Tampa Bay Devil Rays|Tampa Bay Devil Rays|Houston Astros|Houston Astros|Houston Astros|Houston Astros|Houston Astros|Houston Astros,2002|2003|2004|2005|2006|2007|2008|2009
7,St. Louis Cardinals|St. Louis Cardinals,1909|1910
8,New York Mets|New York Mets|New York Mets|New York Mets|New York Mets|New York Mets|New York Mets|New York Mets|New York Mets|Minnesota Twins|Pittsburgh Pirates|Philadelphia Phillies|Philadelphia Phillies|Seattle Mariners,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993
9,Philadelphia Athletics,1917
10,Texas Rangers|Texas Rangers|Texas Rangers|Minnesota Twins|Minnesota Twins,1975|1976|1977|1979|1980
11,Cleveland Indians|New York Mets|New York Mets|Texas Rangers|Washington Nationals,2001|2002|2003|2004|2007
12,Chicago Cubs|Cincinnati Reds|Cincinnati Redlegs|Cincinnati Redlegs,1953|1953|1954|1955
13,Florida Marlins|Florida Marlins|Florida Marlins|Florida Marlins|Tampa Bay Rays|Milwaukee Brewers|Boston Red Sox|Cincinnati Reds,2008|2009|2010|2011|2012|2013|2014|2015
14,St. Louis Browns,1904
15,New York Giants|Boston Red Sox|Boston Red Sox,1912|1917|1918
16,St. Louis Browns|St. Louis Browns,1929|1930
17,Philadelphia Phillies|Philadelphia Phillies|Philadelphia Phillies|Chicago Cubs|Chicago Cubs|St. Louis Browns,1926|1927|1928|1931|1932|1937
18,Seattle Mariners|Seattle Mariners|Seattle Mariners|Seattle Mariners|San Diego Padres,2004|2006|2007|2008|2008
